,userId,tag
2,96,"animation,beautiful,characters,Disney,feminist,Ice,music,musical,pacing,royalty,siblings,storyline,themes,unnecessary villain,voice acting,writing"
8,208,"whit stillman meets Diner,actress too old,too upper class,wild and fresh,whit stillman meets diner,utterly predictable ensemble flick"
9,271,Simon Pegg
12,318,"1970s,fantasy,sci-fi,Action,Revenge,Willem Dafoe"
15,348,"netflix,netflix,netflix,black comedy,oppl,netflix,own,netflix,netflix,netflix,oppl,netflix,oppl,Good Book Bad Movie,netflix,Ireland,Irish,NOT British,netflix,netflix,oppl,netflix,netflix,netflix,netflix,netflix,netflix,oppl,netflix,netflix,netflix,netflix,oppl,netflix,netflix,oppl,oppl,oppl,netflix,netflix,netflix,netflix,netflix,netflix,netflix,netflix,oppl,oppl,netflix,netflix,netflix,netflix,netflix,netflix,netflix,black comedy,netflix,netflix,netflix,netflix,netflix,netflix,KATHARINE Hepburn,netflix,netflix,netflix,netflix,oppl,netflix,netflix,netflix,netflix,netflix,netflix,netflix,netflix,netflix,netflix,netflix,netflix,netflix,netflix,netflix,netflix,netflix,netflix,black comedy,netflix,netflix,oppl,netflix,oppl,oppl,netflix,oppl,netflix,netflix,netflix,netflix,oppl,netflix,netflix,black comedy,netflix,oppl,not found,netflix,netflix,netflix,netflix,netflix,netflix,netflix,netflix,netflix,netflix,netflix,black comedy,netflix,anti-abortion,netflix,netflix,netflix,netflix,netflix,netflix, oppl,netflix,netflix,netflix,netflix,netflix,netflix,netflix,netflix,netflix,netflix,netflix,netflix,netflix,netflix,netflix,netflix,new,france,netflix,netflix,netflix,netflix,netflix,netflix,oppl,new,oppl,new,netflix,oppl,netflix,netflix,netflix,netflix,netflix,netflix,netflix,netflix,netflix,netflix,oppl,netflix,oppl,netflix,netflix,oppl,netflix,netflix,netflix,oppl,oppl,netflix,netflix,netflix,oppl,oppl,oppl,netflix,netflix,oppl,oppl,netflix,feminism,feminist,netflix,netflix,netflix,netflix,oppl,oppl,netflix,oppl,netflix,netflix,netflix"
16,359,"Kevin Pederast,This Would Have Been Funnier If It Was A Horror Film,'Oh The Whore-ror!','Wow Mrs. Robinson Your Porridge Is Just Right!','Carrie I Don't Wanna Rain On Your Parade But That's Not Fruit Punch','Oh Spock! Oh Jim! Oh Bones!' WTF!? Et Tu Herr Doktor? Heil!,Of Course It's Rigid! The Dude's In Full Rigor!,All Of A Sudden You Feel Guilty About Bangin' Yer Own Daughter Why Stop Now?,Ewe Mean Sausage McHoody With Eggs,'I Guess Repression Does Have It's Moments After All','It's Not Where Your Dreams Take You But Who You Take In Your Dreams' hahaha!,'And Just What Do You Think You're Doing Mr. Smeee?',You Mean It's Over Inflated!,'That's All An Inmate Wants...Simple Pleasures',Guy Pierce With Dweeb Focals,'Didn't This Already Happen To Bernie?',Was The Mission About Finding A Position?,You Only Got 2 Bullets. I Have A Sword. You Will Miss. I Won't.,'Hey Dan Do You Mind Having Rabbit Stew For A Pick-Me-Up?',the book was bettah,Great Anti-Abortion Film,'Stop Banging The Doorbell I'm Landscaping My Kitchen Sink!','I Can't Get That Theme Song Out Of My Head',Perfect Use Of Johnny & Santo's 1 Hit Wonder,'On A Steel Horse I Ride I'm Wanted (waaaanteeddd) Dead Or Alive',The 5-Second Rule Never Applies Near Animals Or In Zoos,Re-Fried For U.S.,The Mother Of Connect-The-Dots  Flix (Grand Canyon/Crash/ETC),'Don't Watch 'Criminal' Totally Butchered','Yeah The Test Audience Thought That Was A Better Title...More Upbeat','Know Why I Like Butchering Pigs? It's Like Killing Cops But Without The Jail Time',even crazy people like to be asked out,'The What?!',Sometimes Marriage Makes You Wanna Forget Why The Hell You Said YES,With A Name Like Chew Yer Fat A Crossover Is Not Possible,Even Dweebs Go Psycho If You Keep Making Fun Of Their Glasses,'H Christ!"",'Why Is Everyone Running Around With Puppets Up Their A**?!','Alison Lohman Stole The Whole Damn Film',Animated Woody Allen Film...If He Made One,'I Have Never Had Any Foreign Relations With That Woman Hillary Lewinsky',...'Livin' In An Amish Paradise','The Ninja Assault Gets A 3peat',Just Great. Now Every1 Knows Ewan Is ""Hooded"",'And When The Germans Came Over The Ridge They Suddenly Went Blind!','Is That What He Called It?',Wasn't That Human Played By Ice-T?,If The Director Doesn't Care 2 Flesh Out A Film Why The Hell Should I Care What Happens 2 The Characters?,More Like Plothunters Or Why Did I Watch This?,'Is That What She Calls It?',Loved The Mouse Wake-Up,9ine Queens Was A Better Title...& Film,Hmmm I Wonder How Many Counselors Do Their Jobs Like That!,'That's Where You Enter From Behind After A Running Jump',Just Another F***ing A-Hole!,He Loses All Credibility When He Runs LOL!,Cynthia(Deborah Rennard) Was The Only Performer To Watch In This Drek! More Like L I O N A S S!,Takeshi Definitely Beat This Genre To The Ground,Fight For Your Dreams Because People Are Dying For Theirs,A Married Couples Excuse To Shag On Film,Merde!,Like Michael Crichton Sez Help Stop Gene Patenting! Or Sooner Than Later You Won't Even Own Your Cells!,Zoom In & Slo-Mo The Porking Scene With Ridin' Winona,'You Know What They Say About Short Men With Little Toes','This Is My Gun. I Love To Touch My Gun. Touch My Gun.',A Deadhead With A Parrot Fetish,Tailoring Would Be Back In Style If More Women Appreciated Clothes In THAT Way!,Mrs. Jones Distracted Me The Whole Movie,Being Prostituted By Your Husband Is Never Romantic!,Wonderful Asian Film That Shows Why We Shouldn't Hide Who We Really Are,Emily Blunt Is Sooo Very...   She Was Amazing In Irresistable,Please Stop Re-Frying Books That Suck Donkey D***!,We All Gotta Have A Dream,Do People Really Have 2 Pay 10 Bucks To See How Cruel We Are To Each Other? Try Getting Married!,When It Comes Down To It Toilet Humor Always S(m)ells,It's The Journey Not The Destination That We Should Enjoy,Never Ever Discuss Your Lack Of Game To Wild Bears!,Never Trust Euro-Looking A-Holes @ The Airport.Com,'There's A Lotta These At Used Book Stores...Hmmm I Wonder Why It Sucks That Bad',I Don't Think Arms Dealers Look Anything Like Nick Cage,Where Can I Learn To Speak English Like That?,Teen Induced Angst Overdose,Half-Assed Productions,How Come Charlize Can Play A Serial Killer But She Can't Show More Skin Oh Come On!,Tim Burton Hits Another One Out Of The Cemetery,They Made This Already And It Was Titled: Football Factory It's Way Better Than This Re-Hash,Millions Of Dollars In Drugs Or One Hot Girlfriend...You Choose,Brighton Beach Memoirs & Juliana Moore,No Wonder Carneys Love The Life,What's Really Scary Is That There's People Like That In Real Life!,Isn't Renee Russo Like 100 Years Old? Matt! What Were You Thinking?,Cow Pokin' In Them Thar Hills,Steve Martin Is Scraping The Bottom HARD!,I Just Kept Hearing Massive Attack After The Car Accident,But What Did They Do After New Years: Resolve To Kill ALL My Enemies,It Just Goes To Show Ya Once The Ring Goes On It's Just Leftovers,Years Of Degredation And Humiliation And They Sell Your ""Mizuage"" To The Creepiest Keymaster,Even Princesses Want To Have Pig Sex Now & Again...& Again,Stop Killing Each Other You're Neighbors!,It's Not Just A Phase It's Really A Way Of Life,When You're Stressed Out Nudity Works Wonders For Your Nerves,No Matter What Century It Is Jungle Fever Is Very Contagious!,Parkour: Getting Around Obstacles A Great Complement To Being Alive,I Guess Nude Terminators Can't Kill A Really Bad Film,Oh No This Film Doesn't Promote Murder & Suffering It Just Encourages It!,Nick Swardson Should Have Been Lead His Timing Was Sic!,The Whole Tromeo & Juliet Threw Me Off But Thank Gawd They Didn't Talk Like Bill The Spear Shaker,What If The Big Bad Wolf & Grandma Were Swapping Spit?,An Orifice & A Gentle Hand Refried For '06,Read All The Negative Reviews & Save 2 Hours Of Your Life!,'Lemme Get This Straight. You Have No Idea Who You Are But You Wanna Be Famous?',If I See One More Roast Beef Sandwich You Will Smell My Reaction,Obviously Hillary Had A Different Meaning For ""Secret Service"",Ethan Hunt Should Stop Hogging The Screen!,'Priceline Negotiator!',The Power Of The P,Believe In Your Ability To See Stoopid Plotlines,Not Even Uma Could Save This Dizaster! Wanda Yikes!,It's Not Size Of Your Stick But Why You Keep On Swingin' It!,'So How Did Lois Survive Date Nite?',A Comedy Version Of Matchpoint,You Would Do Anything In The Universe To Get Rachael Weisz Back As Well,Or How The Last Of The Mohican Killed The Predator Escaping From The Thunderdome,'I Want To Meke Romance Explosion On Her Stomatch!',Kevin Cockner & Asstin Goocher Guarding Each Others Happy Holes,You Know It's Bad If It's Been Reheated...Again,No Amount Of Silly Cone Can Save A Steaming Pile Of Shitzu Like This,my child let me show you how firm my faith is,'Double Fudge Bus',Rwanda Genocide,Rwandan Genocide,Bond Would Never Ever Be Caught Driving A Frikkin FORD,Oh The Things I Could Do If Snow White Were A Console,What Happens To Batman When He Loses The Wayne Fortune,'There's Shit In The Meat!','I Had No Idea That You Were A F****** Vampire!',It's Biased When Watanabe Uses A 45 And Kills Himself,Just In Timber Cake Must Die!,Pixar's Formula Starting To Get Stale,'It's Just Hostel 3 With Better Actors',It Just Keeps Getting Better,What's Up With The Da Vinci Hair Do,Not Another Mingella Stretcher! We Hates Them!,After The Reveal The Story Went Back Down And Never Came Up Again,It's 1 Part Bad Memories  1 Part Double Cross Add  A Twist Of Slime & Lots Of Good Vibrations!,'Please Tell Me We Brought The Lighter...Please','Don't Look Into Berry's Headlights She'll Turn You Into Wood',Rear Pwnage,Karl Urban Needs To Pick Better Projects & He Needs 2 Pick-Up His Sword,Lecter Remarries & Kills His Insulting Wife & Butts Heds With Hotshot D.A.,'I'll Give You 10 Seconds Head Start...10!','Saving Silverman Part Deux','Take This Sinking Boat & Point It Home You Hoover Fixer Sucker Guuuyyy!','Why Yes I Would So Love To Sketch Nudes In Costco!','What I Really Wanna Know Is...Does Alba Get Sooper Nekkid?','And So The Bear And Little Deiter Went Off Into The Mountains & Lived Like Homosexual Bears','Now If Only Dubya Could Wash Me Whites,Chuck & Buck...,'More Like Skankwalkers',Mostly Martha Will Always Be The Best. Aron Eckhart? Ninja Pleaze!,Super De-Formed,'Don't Cry Jen I Promise We'll Kill Them All',The Director Should Be Be Shot...In The Mouth!,'Why Is My Arm Wet? Oh It's Just A Crushed Baby','STFU!','The Other Movie Did It's Job...This Must Be The Wrong Movie','I Love You Anna!',30 Daze Of Shite,'Show Me The Money! I Can't Hear You Haji Scream Louder!',A Bad Copy Of Departed Which Was A Re-Hash Of Infernal Affairs,'Heads Or Tails...Call It',I felt sweded,'I Will Give My Kingdom For A Great Piece Of TWAT!','I Don't Care If You Have Cholera It's Still Heads Or Tails...Call It','Cate Dylan Hmmm...','Oh Edward!  A Mr. Todd Would Like You To Cut His Hair','It Should Have Been Kept A Secret','AKA: I Will Never Get Those 2 Hours Back...Ever',blair gojira project,we can do this easy or we can do this reeal easy it's called magic hour,brain bang,that's what he keeps asking for,of course you keep seeing dead people...they're all dying!,not another herzog schwarzenneger egomentary,...that it's finally over,it's too bad Brendan can't shake the Encino Man syndrome,didja know there's a black police ociffer on our block? oh man there goes the neighborhood, ,'stop wanking,or you'll go...too late',all your vagine are belong to us!,P.S.H as a priest? oh you know he's guilty!,mickey 'the stretch' rourke,you mean he gets to go back inside the...oh lucky,no matter what role it is i will not change my persona everybody worships 'the cruise',shame on them!,angles and deadlines,crash re-hashed,good first try for MCG,should have been longer to really flesh out the feeling of bleakness and give a sense of a last hope more action more global feel,better method AI,needed more autobots,stop using useless characters for filler,we are all connected. it's not my life or your life it's all life. stop being afraid and hating the unknown. smile and make eye contact.,melvin pervo didn't commit suicide he just offed hiself 'cleaning' his barrel,""Tonite,Act From,Hell!"",We"
17,370,"funny,angels,true love,Katie Holmes,Timothy Olyphant,Honor,narrated,change,change,Change of heart,breaking the fourth wall,violent,friendship,roadtrip,great ending,great acting,mexican stand off,tension,violence,disappointing,Milla Jovovich,Timothy Olyphant,bad cameo,not funny,waste of time,Michelle Williams,bad acting,childish,Rosario Dawson,boring,Ewan McGregor,great house,location,Pierce Brosnan,slow,clever plot,boring,poor plot,waste of time,dreams,open ending,Michael Cera,dull,gay,motorcycle,visually appealing,weak dialoges,Emily Blunt,soundtrack,Russell Brand,boring,dissapointing,acting,great acting,Sam Rockwell,Elizabeth Banks,naive,socjopat,acting,clever,funny,Julia Dietze,pointless,waste of time,Mark Wahlberg,not funny,pointless,waste of time,Vince Vaughn,violence,violent,Christopher Walken,Sam Rockwell,Woody Harrelson,gets worse as it goes,cleavage,Jai Courtney,pointless,Skylar Astin,Nudity (Full Frontal),Nudity (Full Frontal),not funny,advertising,corporations,love,Sam Rockwell,rushed ending,all the best parts are in the trailer,dissapointing,makes no sense"
22,469,"based on a book,strong women,marvelous,coming of age,iconic,reflective,social commentary,thought-provoking,Brad Pitt,imdb top 250,social commentary,thought-provoking,twist ending,violence,corruption,docudrama,Russell Crowe,true story,overrated,based on a true story,dark comedy,narrated,Nicolas Cage,dialogue driven,ethics,nonsense,too long,touching,very moving"
23,471,"Beautiful story.,Very emotional true story. Very eye opening."
25,489,wacky
